,0,1,2
249,600757.SH,2013-10-09,sell
250,601999.SH,2013-10-10,buy
251,601999.SH,2014-01-06,sell
252,601928.SH,2014-01-07,buy
253,601928.SH,2014-01-08,sell
254,601928.SH,2014-01-09,buy
255,601928.SH,2014-01-10,sell
256,300052.SZ,2014-01-21,buy
257,300052.SZ,2014-02-21,sell
258,600640.SH,2014-03-06,buy
259,600640.SH,2014-03-14,sell
260,002602.SZ,2014-03-24,buy
261,002602.SZ,2014-03-27,sell
262,002602.SZ,2014-08-14,buy
263,002602.SZ,2014-09-12,sell
264,300269.SZ,2014-09-15,buy
265,300269.SZ,2014-09-16,sell
266,300269.SZ,2014-09-17,buy
267,300269.SZ,2014-09-18,sell
268,002131.SZ,2014-09-19,buy
269,002131.SZ,2014-09-22,sell
270,600715.SH,2015-03-23,buy
271,600715.SH,2015-03-24,sell
272,002095.SZ,2015-04-03,buy
273,002095.SZ,2015-04-27,sell
274,002464.SZ,2015-05-08,buy
275,002464.SZ,2015-05-22,sell
276,002530.SZ,2015-05-27,buy
277,002530.SZ,2015-05-29,sell
278,300226.SZ,2015-06-01,buy
279,300226.SZ,2015-06-03,sell
280,601999.SH,2015-06-19,buy
281,601999.SH,2015-07-27,sell
282,300336.SZ,2015-08-03,buy
283,300336.SZ,2015-08-21,sell
284,600831.SH,2015-08-24,buy
285,600831.SH,2015-08-25,sell
286,600986.SH,2015-08-26,buy
287,600986.SH,2015-08-27,sell
288,600986.SH,2015-08-28,buy
289,600986.SH,2015-08-31,sell
290,300104.SZ,2015-09-02,buy
291,300104.SZ,2015-09-16,sell
292,000038.SZ,2015-09-17,buy
293,000038.SZ,2015-09-23,sell
294,002123.SZ,2015-09-24,buy
295,002123.SZ,2015-09-25,sell
296,002400.SZ,2015-09-28,buy
297,002400.SZ,2015-11-23,sell
298,300251.SZ,2016-01-28,buy
299,300251.SZ,2016-04-21,sell
300,002123.SZ,2016-04-22,buy
301,002123.SZ,2016-04-27,sell
302,601928.SH,2016-04-28,buy
303,601928.SH,2016-04-29,sell
304,601928.SH,2016-05-03,buy
305,601928.SH,2016-05-04,sell
306,300269.SZ,2016-05-05,buy
307,300269.SZ,2016-05-30,sell
308,601928.SH,2016-05-31,buy
309,601928.SH,2016-06-01,sell
310,002123.SZ,2016-07-11,buy
311,002123.SZ,2016-07-12,sell
312,002181.SZ,2016-07-22,buy
313,002181.SZ,2016-07-27,sell
314,002181.SZ,2016-07-28,buy
315,002181.SZ,2016-07-29,sell
316,300133.SZ,2016-08-01,buy
317,300133.SZ,2016-09-13,sell
318,002123.SZ,2017-02-24,buy
319,002123.SZ,2017-04-24,sell
